epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.80427,2.76541,4.01704,2.76893,0.00024,0.03704,0.00558,0.00112,3.17169,4.5925,3.35166,1.429e-05,1.429e-05,1.429e-05
2,9.32633,3.23489,4.2385,3.00879,0.00024,0.03704,0.00777,0.00155,3.11694,4.58579,3.30942,4.20212e-05,4.20212e-05,4.20212e-05
3,13.7813,3.25916,4.19197,3.22741,0.00025,0.03704,0.01289,0.00258,3.06575,4.55835,3.25691,6.86206e-05,6.86206e-05,6.86206e-05
4,17.8476,2.99633,4.00934,2.77447,0.00028,0.03704,0.03846,0.0078,2.99482,4.5538,3.24578,9.40882e-05,9.40882e-05,9.40882e-05
5,21.8567,2.83554,4.10816,2.70834,0.00088,0.08466,0.03883,0.00773,2.94427,4.54425,3.21369,0.000118424,0.000118424,0.000118424
6,25.8524,3.00529,4.10595,2.82133,0.00092,0.08466,0.03891,0.01162,2.88633,4.50345,3.18385,0.000141628,0.000141628,0.000141628
7,29.889,2.43984,3.76365,2.41882,0.00097,0.08466,0.04008,0.01571,2.84611,4.5314,3.16606,0.000163701,0.000163701,0.000163701
8,33.9393,2.41726,3.87476,2.30961,0.00154,0.12169,0.04171,0.0201,2.86374,4.46511,3.11002,0.000184641,0.000184641,0.000184641
9,37.9777,2.42282,3.72951,2.31623,0.00157,0.12169,0.04307,0.01293,2.86659,4.44182,3.1071,0.00020445,0.00020445,0.00020445
10,42.2989,2.66373,3.87806,2.67981,0.00106,0.08466,0.02442,0.0072,2.84672,4.42195,3.05112,0.000223127,0.000223127,0.000223127
11,46.8212,2.33946,3.56461,2.3525,0.00135,0.10847,0.01783,0.00406,2.83279,4.42907,3.03634,0.000240672,0.000240672,0.000240672
12,51.1821,2.35891,3.67644,2.32751,0.00135,0.10847,0.01868,0.00466,2.83524,4.41724,3.03607,0.000257086,0.000257086,0.000257086
13,55.7045,2.42826,3.69445,2.31831,0.00131,0.10847,0.03335,0.01255,2.83593,4.40229,3.05532,0.000272367,0.000272367,0.000272367
14,60.227,2.53873,4.21109,2.43199,0.00201,0.1455,0.04757,0.02397,2.82725,4.41658,3.04226,0.000286517,0.000286517,0.000286517
15,64.6877,2.31318,3.68572,2.23526,0.0022,0.16931,0.06889,0.03279,2.85001,4.42537,3.07709,0.000299536,0.000299536,0.000299536
16,69.1458,2.31431,3.5335,2.09443,0.00134,0.10847,0.03137,0.01323,2.8258,4.40846,3.02833,0.000311422,0.000311422,0.000311422
17,73.6265,2.28374,3.36338,2.01033,0.00246,0.19312,0.02396,0.0105,2.81594,4.34579,2.96673,0.000322177,0.000322177,0.000322177
18,78.1852,2.45696,3.26695,2.22528,0.00228,0.16931,0.0359,0.01696,2.77853,4.33737,2.88243,0.0003318,0.0003318,0.0003318
19,82.8547,2.19351,3.90586,2.11832,0.00243,0.19312,0.03236,0.01434,2.7239,4.35903,2.80177,0.000340291,0.000340291,0.000340291
20,87.2257,2.35241,3.33359,2.23735,0.00203,0.1455,0.02585,0.01168,2.68514,4.36227,2.78031,0.00034765,0.00034765,0.00034765
21,91.6542,2.29884,3.23129,2.02031,0.00216,0.16931,0.03906,0.0152,2.67064,4.35491,2.76712,0.000353878,0.000353878,0.000353878
22,96.1998,2.19118,3.35222,2.10684,0.00145,0.13228,0.03595,0.01299,2.69216,4.3303,2.77553,0.000358973,0.000358973,0.000358973
23,100.613,2.46682,3.29889,2.15033,0.00284,0.23016,0.04749,0.01457,2.6714,4.32945,2.75914,0.000362937,0.000362937,0.000362937
24,105.112,2.03896,2.84755,1.96799,0.00279,0.25397,0.0451,0.01412,2.6972,4.3232,2.74507,0.00036577,0.00036577,0.00036577
25,109.842,1.87807,3.68084,1.89536,0.00379,0.32804,0.05537,0.01757,2.75699,4.32385,2.73803,0.00036747,0.00036747,0.00036747
26,114.572,1.89508,2.79102,1.82447,0.00488,0.42593,0.05513,0.02022,2.82414,4.23068,2.71038,0.000368039,0.000368039,0.000368039
27,119.462,1.94171,2.78136,1.81455,0.00426,0.36508,0.04144,0.01569,2.81378,4.20346,2.69342,0.000367476,0.000367476,0.000367476
28,124.205,1.93367,2.75254,1.82336,0.00426,0.36508,0.04144,0.01569,2.81378,4.20346,2.69342,0.000365781,0.000365781,0.000365781
